vocab_number,poj,poj_sandhi,taiwanese_hanji,english
8,"Cha-hng ê tiān-iáⁿ, lí khòaⁿ, chin hó-khòaⁿ; khòaⁿ, ū hó-khòaⁿ bô·?","Cha7-hng7 ê7 tiān3-iáⁿ, lí1 khòaⁿ, chin7 hó1-khòaⁿ; khòaⁿ, ū3 hó1-khòaⁿ bô·3?","昨昏的電影, 你看, 真好看; 看, 有好看無?","We thought the movie yesterday was very good; did you find it good?"
8,"Góa khòaⁿ, i bô ài lâi.","Góa1 khòaⁿ, i7 bô7 ài2 lâi.","我看, 伊無愛來.",I don't think he wants to come.
9,hó-chò,hó1-chò,好做,be easy to do or make.
9,bô hó-chò,bô7 hó1-chò,無好做,not easy to do or make.
9,Lí ê saⁿ bô hó-chò.,Lí1 ê7 saⁿ bô7 hó1-chò.,你的衫無好做.,Your clothes are not easy to make.
9,hó-khòaⁿ,hó1-khòaⁿ,好看,be good-looking/nice.
9,Cha-hng ê tiān-iáⁿ ū hó-khòaⁿ bô·?,Cha7-hng ê7 tiān3-iáⁿ ū3 hó1-khòaⁿ bô·3?,昨昏的電影有好看無?,Was the movie good yesterday?
9,"Bô, bô sím-mih hó-khòaⁿ.","Bô, bô7 sím1-mih2 hó1-khòaⁿ.","無, 無啥物好看.","No, it wasn't so good."
9,hó-kóng,hó1-kóng,好講,easy to speak.
9,Tâi-gí chin hó-kóng.,Tâi7-gí chin7 hó1-kóng.,台語真好講.,Taiwanese is easy to speak.
9,"Góa khòaⁿ, bô sím-mih hó-kóng.","Góa1 khòaⁿ, bô7 sím1-mih2 hó1-kóng.","我看, 無啥物好講.",I don't think it's very easy.
10,Lí ū hóe bô·?,Lí1 ū3 hóe bô·3?,你有火無?,Do you have a light/match?
10,"Ū, tī chia ū lái-tah.","Ū, tī3 chia ū3 lái-tah.","有, 佇遮有來打.","Yes, here's a lighter."
11,chia̍h-hun,chia̍h3-hun,食薰,to smoke (cigarettes).
11,Lí ài chia̍h-hun bô·?,Lí1 ài2 chia̍h3-hun bô·3?,你愛食薰無?,Do you like to smoke?
11,Góa bô chia̍h.,Góa1 bô7 chia̍h.,我無食.,I don't smoke.
11,Góa tiāⁿ-tiāⁿ chia̍h i ê hun.,Góa1 tiāⁿ3-tiāⁿ3 chia̍h3 i7 ê7 hun.,我定定食伊的薰.,I'm always smoking his cigarettes.
12,"Chia̍h pá, chia̍h chi̍t jí keng-chio hó.","Chia̍h3 pá, chia̍h3 chi̍t3 jí1 keng7-chio hó.","食飽, 食一根弓蕉好.",It's very good to eat a banana after a meal.
13,ji̍p-lâi,ji̍p-lâi,入來,come in.
13,ji̍p-khì,ji̍p-khì,入去,go in.
13,Lí khì chhiáⁿ i ji̍p-lâi.,Lí1 khì2 chhiáⁿ1 i7 ji̍p-lâi.,你去請伊入來.,Go and invite him in.
13,I chhiáⁿ lí ji̍p-khì.,I7 chhiáⁿ1 lí1 ji̍p-khì.,伊請你入去.,He invites you to go in.
13,Chhiáⁿ lí ji̍p-lâi chē.,Chhiáⁿ1 lí1 ji̍p3-lâi7 chē.,請你入來坐.,Please come in and sit down.
14,nn̄g kak,nn̄g3 kak,兩角,twenty cents.
14,gō· kak,gō·3 kak,五角,fifty cents.
14,Che ài nn̄g kho· gō· kak.,Che ài2 nn̄g3 kho· gō·3 kak.,這愛兩箍五角.,This costs $2.50.
15,Lí ài chia̍h keng-chio bô·?,Lí1 ài2 chia̍h3 keng7-chio bô·3?,你愛食弓蕉無?,Do you like bananas?
16,"Lí khiâ thih-bé lâi, sī bô·?","Lí1 khiâ7 thih2-bé lâi, sī bô·3?","你騎鐵馬來, 是無?",Did you come by bicycle?
16,Lí ê thih-bé ū hó-khiâ bô·?,Lí1 ê7 thih2-bé ū3 hó1-khiâ bô·3?,你的鐵馬有好騎無?,Is your bicycle a good one?
17,Kin-á-ji̍t lí boeh chhòng-siaⁿh?,Kin7-á1-ji̍t lí1 boeh2 chhòng2-siaⁿh?,今仔日你欲創啥?,What are you going to do today?
17,"Lán kin-á-ji̍t bô tha̍k-chheh; lán lâi-khì chhit-thô.","Lán1 kin7-á1-ji̍t bô7 tha̍k3-chheh; lán1 lâi7-khì2 chhit2-thô.","咱今仔日無讀冊; 咱來去𨑨迌.","No school today; let's go have some fun."
19,Chheh m̄-hó siá-jī.,Chheh m̄3-hó1 siá1-jī.,冊毋好寫字.,Don't write in the book.
19,"In chím-á teh tha̍k-chheh; lí m̄-hó ji̍p-khì.","In7 chím1-á teh2 tha̍k3-chheh; lí1 m̄3-hó1 ji̍p-khì.","𪜶這馬咧讀冊; 你毋好入去.","They're studying now; don't go in."
20,"Góa chin ài bé, m̄-kú bô chîⁿ.","Góa1 chin7 ài2 bé, m̄3-kú1 bô7 chîⁿ.","我真愛買, 毋過無錢.",I really want to buy it but don't have the money.
21,chi̍t pau chheh,chi̍t3 pau7 chheh,一包冊,a package of books.
21,I cha-hng chia̍h chi̍t pau hun.,I7 cha3-hng7 chia̍h3 chi̍t3 pau7 hun.,伊昨昏食一包薰.,Yesterday he smoked a pack of cigarettes.
22,Tâi-oân-ōe chin pháiⁿ-kóng.,Tâi7-oân7-ōe chin7 pháiⁿ1-kóng.,台灣話真歹講.,Taiwanese is very difficult.
22,I ê thih-bé chin pháiⁿ-khiâ.,I7 ê7 thih2-bé chin7 pháiⁿ1-khiâ.,伊的鐵馬真歹騎.,His bicycle is hard to ride.
23,Chi̍t pau hun ài jī-cha̍p kho· pòaⁿ.,Chi̍t3 pau7 hun ài2 jī3-cha̍p3 kho·7 pòaⁿ.,一包薰愛二十箍半.,A pack of cigarettes costs $22.50.
24,I siông-siông lâi goán chhù.,I7 siông7-siông7 lâi7 goán1 chhù.,伊常常來阮厝.,He comes to our house very often.
24,Keng-chio góa pút-sî chia̍h.,Keng7-chio góa1 pút2-sî7 chia̍h.,弓蕉我不時食.,I'm always eating bananas.
25,I cha-hng khì soaⁿ-nih.,I7 cha7-hng khì2 soaⁿ-nih1.,伊昨昏去山裡.,He went to the mountains yesterday.
25,Tī soaⁿ-nih bô chin-chē lâng.,Tī3 soaⁿ-nih1 bô7 chin7-chē3 lâng.,佇山裡無真濟人.,There are not many people in the mountains.
26,Chi̍t tâi tiān-sī.,Chi̍t3 tâi7 tiān3-sī.,一台電視.,A TV set.
26,Chi̍t tâi thih-bé.,Chi̍t3 tâi7 thih2-bé.,一台鐵馬.,A bicycle.
26,"Goán chhù ū chi̍t tâi tiān-sī, nn̄g tâi thih-bé.","Goán1 chhù ū3 chi̍t3 tâi7 tiān3-sī, nn̄g3 tâi7 thih2-bé.","阮厝有一台電視, 兩台鐵馬.",We (our family) have a TV and 2 bicycles.
27,Tâi-oân-ōe,Tâi7-oân7-ōe,台灣話,the Taiwanese language.
27,Tâi-gí,Tâi7-gí,台語,the Taiwanese language.
27,Tâi-oân-lâng,Tâi7-oân7-lâng,台灣人,the Taiwanese people.
27,Tâi-oân ū chin-chē kóe-chí.,Tâi7-oân ū3 chin7-chē3 kóe1-chí.,台灣有真濟果子.,Taiwan has (grows) a lot of fruit.
28,Lí ài khiâ thih-bé bô·?,Lí1 ài2 khiâ7 thih2-bé bô·3?,你愛騎鐵馬無?,Do you like bike-riding?
28,Góa bô pòaⁿ tâi.,Góa1 bô7 pòaⁿ2 tâi.,我無半台.,I don't have a single one.
29,chò tiān-iáⁿ,chò2 tiān3-iáⁿ,做電影,to show a movie.
29,"Tī hia teh chò tiān-iáⁿ, lán lâi-khì khòaⁿ.","Tī3 hia teh2 chò2 tiān3-iáⁿ, lán1 lâi7-khì2 khòaⁿ.","佇遐咧做電影, 咱來去看.","They're showing a movie over there; let's go watch it."
30,khòaⁿ tiān-sī,khòaⁿ2 tiān3-sī,看電視,to watch TV.
30,Cha-hng ê tiān-sī chin hó-khòaⁿ; lí khòaⁿ bô·?,Chā3-hng7 ê7 tiān3-sī chin7 hó1-khòaⁿ; lí1 khòaⁿ bô·3?,昨昏的電視真好看; 你看無?,TV was very good yesterday; did you watch?
31,"I kóng i boeh khì Ko-hiông, ū-iáⁿ?","I7 kóng1 i7 boeh2 khì2 Ko-hiông, ū3-iáⁿ?","伊講伊欲去高雄, 有影?","He says he's going to Kaohsiung; is that true?"
31,"Bô-iáⁿ, góa bô boeh khì.","Bô7-iáⁿ, góa1 bô7 boeh2 khì.","無影, 我無欲去.","It's not true; I'm not going."
