vocab_number,poj,poj_sandhi,taiwanese_hanji,english
42,"Sai-hū, góa ê o·-thó·-bái lí kā góa siu-lí, hó bô·?","Sai7-hū, góa1 ê7 o·7-thó·1-bái lí1 kā3 góa1 siu7-lí, hó bô·3?","師傅, 我的烏托拜你共我修理, 好無?","Fix my motorcycle for me, master workman. OK?"
44,Lín a-ché góa kah i bô se̍k-sāi.,Lín1 a7-ché góa1 kah2 i7 bô7 se̍k3-sāi.,恁阿姊我佮伊無熟似.,I'm not acquainted with your older sister.
44,Chit só·-chāi góa chin se̍k.,Chit2 só·1-chāi góa1 chin7 se̍k.,這所在我真熟.,I know this place well.
46,Chit ūi chiū-sī Lí Sió-chiá.,Chit2 ūi chiū3-sī3 Lí Sió1-chiá.,這位就是李小姐.,This is Miss Lí (of whom I spoke to you).
47,"Góa ū nn̄g ê sió-mōe, bô a-ché.","Góa1 ū3 nn̄g3 ê7 sió1-mōe, bô7 a7-ché.","我有兩个小妹, 無阿姊.",I have 2 younger sisters but no older one.
47,"Tân Chí-Hun sī lín mōe-sài, sī bô·?","Tân Chí1-Hun sī3 lín1 mōe3-sài, sī bô·3?","陳志勳是恁妹婿, 是無?","Tân Chí-Hun is your younger sister's husband, is he?"
49,Góa boeh kā lí siu-lí.,Góa1 boeh2 kā3 lí1 siu7-lí.,我欲共你修理.,I'll fix it for you. / I'll fix you (slang).
49,Góa ê pió-á siu-lí hó bōe?,Góa1 ê7 pió1-á siu7-lí1 hó bōe3?,我的錶仔修理好未?,Is my watch fixed yet?
50,Lí teh siūⁿ siaⁿh?,Lí1 teh2 siūⁿ3 siaⁿh?,你咧想啥?,What are you thinking about?
50,Góa siūⁿ-chi̍t-ē chiah kā lí kóng.,Góa1 siūⁿ-chit3-ē3 chiah2 kā3 lí1 kóng.,我想一下才共你講.,I'll think about it for a while and then let you know.
50,"Góa siūⁿ, góan jī-hiaⁿ bô ài khì.","Góa1 siūⁿ, góan1 jī3-hiaⁿ bô7 ài2 khì.","我想, 阮二兄無愛去.",I don't think my 2nd oldest brother wants to go.
50,Góan lóng teh siūⁿ lí.,Góan1 lóng1 teh2 siūⁿ lí7.,阮攏咧想你.,We're all thinking of you.
51,Lí siūⁿ-boeh kā góa kóng siaⁿh?,Lí1 siūⁿ3-boeh2 kā3 góa1 kóng1 siaⁿh?,你想欲共我講啥?,What were you going to tell me?
51,Bîn-á-chài góa siūⁿ-boeh hioh-khùn.,Bîn7-á-chài góa1 siūⁿ3-boeh2 hioh2-khùn.,明仔載我想欲歇睏.,I'm thinking of taking tomorrow off.
52,"Pháiⁿ-sè, góa siūⁿ-chò/siūⁿ-kóng i sī lín a-hiaⁿ.","Pháiⁿ1-sè, góa1 siūⁿ3-chò/siūⁿ3-kóng i7 sī3 lín1 a7-hiaⁿ.","歹勢, 我想做／想講伊是恁阿兄.","Sorry, I thought he was your older brother."
52,Góa siūⁿ-chò kin-á-ji̍t sī pài-la̍k.,Góa1 siūⁿ3-chò2 kin7-á-ji̍t sī3 pài2-la̍k.,我想做今仔日是拜六.,I thought today was Saturday.
53,"Lín tōa-hiaⁿ cha-hng kā lí kóng siaⁿh, lí siūⁿ-ū bô·?","Lín1 tōa3-hiaⁿ cha7-hng kā3 lí1 kóng1 siaⁿh, lí1 siūⁿ3-ū bô·3?","恁大兄昨昏共你講啥, 你想有無?",Do you recall what your oldest brother said to you yesterday?
53,Góa chím-á lóng siūⁿ-bô.,Góa1 chím1-á lóng1 siūⁿ3-bô.,我這馬攏想無.,I can't recall at all now.
55,"Thâu-ke, lín chia boeh chhiàⁿ su-ki bô·?","Thâu7-ke, lín1 chia boeh2 chhiàⁿ2 su7-ki bô·3?","頭家, 恁遮欲倩司機無?","Are you going to hire a driver, boss?"
55,Chit ê su-ki sái-chhia bān-bān-á.,Chit2 ê7 su7-ki sái1-chhia bān3-bān3-á.,這个司機駛車慢慢仔.,This driver drives very slowly. (A compliment.)
56,Tāi-ke gâu-chá.,Tāi3-ke gâu7-chá.,大家𠢕早.,Everybody's around early. (Greeting.)
56,Lín tāi-ke lóng boeh khì bô·?,Lín1 tāi3-ke lóng1 boeh2 khì bô·3?,恁大家攏欲去無?,Are you all going?
56,Chhiáⁿ tāi-ke thiaⁿ góa kóng.,Chhiáⁿ1 tāi3-ke thiaⁿ7 góa1 kóng.,請大家聽我講.,Everybody please listen to me.
57,Tha̍k-chheh ê sî-kan chi̍t tiám-cheng chin té.,Tha̍k3-chheh ê7 sî7-kan chi̍t3 tiám1-cheng chin7 té.,讀冊的時間一點鐘真短.,An hour is a very short time for a class.
57,Chit tiâu kò·-sū té-té-á.,Chit2 tiâu7 kò·2-sū té1-té-á.,這條故事短短仔.,This story is very short.
58,Iōng tê-kho· sé hō· chheng-khì.,Iōng3 tê7-kho· sé1 hō·3 chheng7-khì.,用茶箍洗予清氣.,Wash it clean with soap.
58,Lí khì the̍h tê-kho· lâi hō· góa.,Lí1 khì2 the̍h3 tê7-kho· lâi7 hō· góa7.,你去提茶箍來予我.,Go get me the soap.
59,Góa thang ji̍p-khì bô·?,Góa1 thang7 ji̍p3-khì bô·3?,我通入去無?,May I come in?
59,M̄-thang khì lō·-nih chhit-thô.,M̄3-thang7 khì2 lō·3-nih chhit2-thô.,毋通去路裡𨑨迌.,It's not permitted to go play on the road.
60,"I chin gâu, chím-á ka-tī teh chò thâu-ke.","I7 chin7 gâu, chím1-á ka7-tī3 teh2 chò2 thâu7-ke.","伊真𠢕, 這馬家己咧做頭家.",He's very smart; he's a boss now (he opened his own business).
60,Lín thâu-ke ū-tī-lē bô·?,Lín1 thâu7-ke ū3-tī-lē bô·3?,恁頭家有佇咧無?,Is the boss here? / Is your husband at home?
60,"Thâu-ke bô-tī-lē, kan-ná thâu-ke-niû tī chhù-nih.","Thâu7-ke bô7-tī-lē, kan7-ná thâu7-ke7-niû tī3 chhù-nih.","頭家無佇咧, 干焦頭家娘佇厝裡.",The boss is not in; only his wife is at home.
62,Góa thâu-khak teh thiàⁿ.,Góa1 thâu7-khak teh2 thiàⁿ.,我頭殼咧疼.,I have a headache.
62,Lí án-ni chò hō· góa thâu thiàⁿ.,Lí1 án1-ni chò2 hō·3 góa1 thâu thiàⁿ.,你按呢做予我頭疼.,Your doing that gives me a headache (causes me worry).
62,"Góa kin-á-ji̍t boeh sé-thâu niā-niā, bô boeh thì.","Góa1 kin7-á-ji̍t boeh2 sé1-thâu niā3-niā, bô7 boeh2 thì.","我今仔日欲洗頭爾爾, 無欲剃.","Today I just want a shampoo, no haircut."
64,Góa boeh khì thì-thâu; lí boeh thì bô·?,Góa1 boeh2 khì2 thì2-thâu; lí1 boeh2 thì bô·3?,我欲去剃頭; 你欲剃無?,I'm going to get a haircut; are you going to get one?
64,Toh chit ê sai-hū boeh kā góa thì?,Toh2 chit3 ê7 sai7-hū boeh2 kā3 góa1 thì?,佗一个師傅欲共我剃?,Which barber is going to cut my hair?
66,Tòa chit ê só·-chāi khui tiàm bē-bái.,Tòa2 chit2 ê7 só·1-chāi khui7 tiàm bē3-bái.,蹛這个所在開店袂䆀.,To set up a shop in this place wouldn't be bad.
66,Chit khoán ê chheh hit keng chheh-tiàm ū teh bē bô·?,Chit2 khoán1 ê7 chheh hit2 keng7 chheh2-tiàm ū3 teh2 bē bô·3?,這款的冊彼間冊店有咧賣無?,Does that bookstore sell this kind of book?
66,Che lí tī toh chit keng tiàm bé-ê?,Che lí1 tī3 toh2 chit3 keng7 tiàm bé-ê3?,這你佇佗一間店買的?,What store did you buy this in?
72,Chit lé-pài ê tiong-kan lí chò ē hó bē?,Chit3 lé1-pài ê7 tiong7-kan lí1 chò2 ē3 hó bē3?,一禮拜的中間你做會好袂?,Can you finish it in one week?
72,Chit saⁿ nî-tiong góa lóng tòa tī Ko-hiông.,Chit2 saⁿ7 nî7-tiong góa1 lóng1 tòa2 tī3 Ko7-hiông.,這三年中我攏蹛佇高雄.,I have lived in Kaohsiung all during these 3 years.
72,Góan sió-tī chit nn̄g ji̍t-kan tō ē lâi.,Góan1 sió1-tī chit2 nn̄g3 ji̍t3-kan tō3 ē3 lâi.,阮小弟這兩日間就會來.,My younger brother will come within 2 days.
73,Iân-pit khah tn̂g khah hó-siá.,Iân7-pit khah2 tn̂g7 khah2 hó1-siá.,鉛筆較長較好寫.,The longer a pencil is the better for writing.
73,Chi̍t nî ê sî-kan ū-iáⁿ chin tn̂g.,Chi̍t3 nî7 ê7 sî7-kan ū3-iáⁿ1 chin7 tn̂g.,一年的時間有影真長.,A year is really a long time.
74,Lí ài oat tò-pêng.,Lí1 ài2 oat2 tò2-pêng.,你愛斡倒爿.,You must turn left.
74,Lí ē-hiáu iōng tò-chhiú chia̍h-pn̄g bē?,Lí1 ē3-hiáu1 iōng3 tò2-chhiú chia̍h3-pn̄g bē3?,你會曉用倒手食飯袂?,Can you eat with your left hand?
